序号,招聘信息ID,企业名称,企业类型,招聘岗位,薪资范围,招募类型,期望学历,工作年数,招募人数,岗位类型,技能需求,公司地址,工作福利
183,	1524956737138982913,广东迈科医学科技股份有限公司,"['互联网', '软件']",数据分析师,"[17000, 19000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
184,	1524956737138982912,广东迈科医学科技股份有限公司,"['互联网', '软件']",销售助理/销售代表,"[5500, 6500]",全职,大专,不限,20,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
185,	1524956737134788608,广东迈科医学科技股份有限公司,"['互联网', '软件']",.NET开发工程师,"[16500, 18000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
186,	1524956737130594304,广东迈科医学科技股份有限公司,"['互联网', '软件']",实施工程师,"[10000, 15000]",全职,本科,不限,2,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
187,	1524956737126400000,广东迈科医学科技股份有限公司,"['互联网', '软件']",NET开发（实习生/应届生）,"[6000, 12000]",全职,本科,不限,2,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
188,	1523853950653169666,广州市汇聚支付电子科技有限公司,"['互联网', '软件']",数据库管理员,"[7000, 9000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
189,	1523853950653169665,广州市汇聚支付电子科技有限公司,"['互联网', '软件']",运维工程师,"[5500, 6500]",全职,大专,不限,7,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
190,	1523853950653169664,广州市汇聚支付电子科技有限公司,"['互联网', '软件']",测试工程师,"[6500, 8000]",全职,大专,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
191,	1523853950648975361,广州市汇聚支付电子科技有限公司,"['互联网', '软件']",JAVA开发工程师,"[10000, 15000]",全职,大专,不限,2,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
192,	1523853950648975360,广州市汇聚支付电子科技有限公司,"['互联网', '软件']",前端开发工程师,"[6000, 12000]",全职,本科,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
193,	1523505369165463552,广州六度共识科技有限公司,"['互联网', '软件']",实施顾问,"[5000, 6500]",全职,大专,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
194,	1523505369161269249,广州六度共识科技有限公司,"['互联网', '软件']",技术支持,"[5000, 6000]",全职,大专,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
195,	1523505369161269248,广州六度共识科技有限公司,"['互联网', '软件']",数据分析,"[5000, 8000]",全职,本科,不限,6,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
196,	1522855604979367936,深圳市海中信科技有限公司,"['互联网', '软件']",实施顾问,"[6000, 8000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
197,	1522855604975173635,深圳市海中信科技有限公司,"['互联网', '软件']",技术支持,"[5000, 7000]",全职,本科,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
198,	1522855604975173634,深圳市海中信科技有限公司,"['互联网', '软件']",销售代表,"[5000, 8000]",全职,本科,不限,6,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
199,	1522855604975173633,深圳市海中信科技有限公司,"['互联网', '软件']",售后和实施工程师,"[5000, 7000]",全职,本科,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
200,	1522855604975173632,深圳市海中信科技有限公司,"['互联网', '软件']",JAVA开发工程师,"[9000, 12000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
201,	1522786179546742787,广州艮业信息科技有限公司,"['互联网', '软件']",大数据开发工程师,"[20000, 25000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
202,	1522786179546742786,广州艮业信息科技有限公司,"['互联网', '软件']",Java高级开发工程师,"[12000, 15000]",全职,本科,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
203,	1522786179546742785,广州艮业信息科技有限公司,"['互联网', '软件']",Java高级开发工程师,"[5000, 6000]",全职,本科,不限,6,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
204,	1522786179546742784,广州艮业信息科技有限公司,"['互联网', '软件']",项目负责人,"[5000, 6000]",全职,本科,不限,4,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
205,	1522786179542548480,广州艮业信息科技有限公司,"['互联网', '软件']",Java初级开发工程师,"[5000, 6000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
206,	1522088865739964418,广州棒谷科技股份有限公司,"['互联网', '电商']",JAVA工程师,"[5000, 10000]",全职,本科,不限,3,"['“互联网”', '”电商”']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
207,	1522088865739964417,广州棒谷科技股份有限公司,"['互联网', '电商']",php工程师,"[6000, 8500]",全职,本科,不限,7,"['“互联网”', '”电商”']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
208,	1522088865739964416,广州棒谷科技股份有限公司,"['互联网', '电商']",测试工程师,"[5000, 7500]",全职,本科,不限,4,"['“互联网”', '”电商”']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
209,	1522088865735770113,广州棒谷科技股份有限公司,"['互联网', '电商']",运维工程师,"[4000, 6500]",全职,大专,不限,2,"['”电商”', '“互联网”']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
210,	1522088865735770112,广州棒谷科技股份有限公司,"['互联网', '电商']",产品专员,"[4000, 6000]",全职,本科,不限,6,"['“互联网”', '”电商”']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
211,	1519615982979645440,广州电商之家文化传播有限公司,"['互联网', '电商']",电商数据分析,"[10000, 20000]",全职,本科,1-3年,3,"['互联网', '电商']",['数据可视化'],广东省广州市,[]
212,	1519614182868254720,广州志晴网络科技有限公司,"['互联网', '软件']",技术支持,"[3000, 6000]",全职,本科,不限,6,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
213,	1518775114169188352,广州众铃商信息科技有限公司,"['互联网', '电商']",电商数据分析,"[3500, 8000]",全职,本科,不限,5,"['“互联网”', '”电商”']","['数据采集', '数据分析', '数据探索']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
214,	1517417343414829056,广州交易猫信息技术有限公司,"['互联网', '金融']",游戏客服专员,"[2500, 8000]",全职,大专,不限,80,"['“互联网”', '”软件开发”']",['需求分析'],广东省广州市,"['五险一金', '专业培训', '定期体检']"
215,	1518408448579076096,鼎捷软件股份有限公司,"['互联网', '金融']",技术支持,"[3500, 8000]",全职,本科,不限,5,"['“互联网”', '”软件开发”']","['神经网络', '数据探索', '产品运营', '项目管理', '系统测试']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
216,	1516228514095955968,苏州工业园区凌志软件股份有限公司,"['互联网', '金融']",软件开发工程师,"[3500, 8000]",全职,本科,不限,80,"['“互联网”', '”软件开发”']",['软件系统搭建'],广东省广州市,"['五险一金', '专业培训', '定期体检', '餐饮补贴', '通讯补贴', '员工旅游', '交通补贴']"
217,	1515899759372664832,深圳市捷顺科技实业股份有限公司,"['互联网', '金融']",图像算法工程师,"[20000, 40000]",全职,硕士,3-5年,3,"['“数据分析”', '”数据库”']","['数据计算', '机器学习']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
218,	1515899759376859136,深圳市捷顺科技实业股份有限公司,"['互联网', '金融']",大数据架构师,"[15000, 30000]",全职,本科,5-7年,4,"['“数据分析”', '”数据库”']","['数据挖掘', '数据分析']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
219,	1514791781395464192,广东省信息工程有限公司,"['互联网', '金融']",数据支持工程师,"[3500, 8000]",全职,不限,不限,10,"['“数据分析”', '”数据库”']","['数据分析', '数据探索', '数据预处理', '项目管理', '数据采集']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
220,	1514415923166052352,广东君美医疗管理有限公司,"['互联网', '电子商务']",临床研究数据分析员,"[20000, 30000]",全职,硕士,1-3年,3,"['五险一金', '免费班车']","['数据采集', '数据挖掘', '数据探索', '数据分析']",广东省广州市,"['五险一金', '员工旅游']"
221,	1514415923170246656,上海识装信息科技有限公司,"['互联网', '电子商务']",电商数据分析,"[8000, 13000]",全职,本科,1-3年,7,"['五险一金', '免费班车']","['数据分析', '数据探索', '数据可视化', '数据采集']",广东省东莞市,"['五险一金', '员工旅游']"
222,	1514089434499383296,中信建投证券股份有限公司,"['互联网', '电子商务']",量化实习生,"[3500, 8000]",全职,本科,不限,15,['“金融”'],['数据分析'],广东省广州市,"['五险一金', '交通补贴', '餐饮补贴']"
223,	1509070539107467264,有米科技股份有限公司,"['互联网', '电子商务']",前端工程师,"[6000, 100000]",全职,本科,不限,0,"['爬虫系统设计', '爬虫策略']","['数据计算', '数据预处理', '数据建模', '数据查询']",,"['五险一金', '餐饮补贴', '通讯补贴', '交通补贴', '绩效奖金', '年终奖金', '弹性工作', '专业培训']"
224,	1509070225499357184,有米科技股份有限公司,"['互联网', '电子商务']",算法工程师,"[6000, 10000]",全职,硕士,不限,0,"['自然语言处理', '图像处理算法', 'AI端核心模块', '接口开发']","['数据采集', '数据分析', '数据建模', '数据可视化']",,"['五险一金', '通讯补贴', '交通补贴', '餐饮补贴', '绩效奖金', '年终奖金', '股票期权', '弹性工作', '专业培训']"
225,	1507240831520735232,龍湖集團控股有限公司,"['电子商务', '互联网']",数据工程师,"[6000, 10000]",全职,本科,5-7年,0,"['Azure平台', 'ETL流程开发', '业务运维', '数据模型开发', '数仓设计']","['数据挖掘', '数据可视化', '数据采集', '数据分析', '数据探索']",,"['五险一金', '通讯补贴', '餐饮补贴', '交通补贴', '绩效奖金', '年终奖金', '弹性工作', '专业培训']"
226,	1507240146381176832,龍湖集團控股有限公司,"['电子商务', '互联网']",呼叫专员/实习生,"[4000, 9000]",全职,大专,不限,0,"['客户开发', '促进成交']",['客户开发'],,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作']"
227,	1507238962652119040,龍湖集團控股有限公司,"['电子商务', '互联网']",新媒体运营（线上商机）专员/实习生,"[4000, 9000]",全职,大专,不限,20,"['线上营销', '运营调研', '运营推广', '活动执行', '营销推广']","['产品运营', '项目管理']",,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作']"
228,	1507239628787286016,龍湖集團控股有限公司,"['电子商务', '互联网']",渠道拓客专员/实习生,"[4000, 9000]",全职,大专,不限,20,"['客户开发', '促进成交']",['客户开发'],,"['五险一金', '专业培训', '餐饮补贴', '交通补贴', '通讯补贴', '弹性工作', '年终奖金', '绩效奖金']"
229,	1507194034043617280,深圳市海柔创新科技有限公司,"['电子商务', '互联网']",技术支持,"[4000, 8000]",全职,大专,不限,0,"['软硬件维护', '服务受理', '变更操作', '临时保障', '系统巡检']","['平台管理', '系统测试', '软件系统搭建', '硬件系统搭建']",江西省南昌市,"['五险一金', '弹性工作', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '绩效奖金']"
230,	1507178952974794752,佛山美云智数科技有限公司,['不限'],产品运营实习生,"[4500, 8000]",全职,本科,不限,0,"['SAAS产品', '推广获客', '用户活跃', '运营数据', '用户需求']","['产品运营', '项目管理', '需求分析']",广东省佛山市,"['五险一金', '餐饮补贴', '年终奖金', '绩效奖金', '弹性工作', '专业培训']"
231,	1506179537359208453,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(高级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
232,	1506179537359208462,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
233,	1506179537363402752,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Java'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
234,	1506179537363402756,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Java'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
235,	1506179537363402757,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['C#'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
236,	1506179537363402758,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['JAVA'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
237,	1506179537363402759,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Java'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
238,	1506179537363402760,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['JAVA'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金', '专业培训', '弹性工作', '年终奖金']"
239,	1506179537363402762,广州迅牛信息技术有限公司,"['电子商务', '互联网']",数据开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,5,['JAVA'],"['数据预处理', '数据开发']",广东省广州市,"['五险一金', '绩效奖金']"
240,	1506179537363402763,广州迅牛信息技术有限公司,"['电子商务', '互联网']",数据开发岗-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Python'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
241,	1506179537363402765,广州迅牛信息技术有限公司,"['电子商务', '互联网']",数据开发岗-广州银行项目,"[6000, 10000]",全职,本科,3-5年,2,['hadoop hive sql'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
242,	1506179537363402764,广州迅牛信息技术有限公司,"['电子商务', '互联网']",数据开发岗-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Procedural Language/SQL'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
243,	1506179537359208460,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(初级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
244,	1506179537359208463,广州迅牛信息技术有限公司,"['电子商务', '互联网']",应用环境支持-广州银行项目,"[6000, 10000]",全职,本科,不限,4,['SQL'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
245,	1506179537359208451,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,2,['测试'],['数据开发'],广东省广州市,"['专业培训', '五险一金', '绩效奖金']"
246,	1506179537359208457,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
247,	1506179537359208459,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
248,	1506179537359208458,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
249,	1506179537359208456,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
250,	1506179537359208454,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(初级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '年终奖金', '绩效奖金', '五险一金', '弹性工作']"
251,	1506179537359208448,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试岗-广州银行项目,"[6000, 10000]",全职,本科,不限,4,['测试'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
252,	1506179537359208449,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试岗-广州银行项目,"[6000, 10000]",全职,本科,不限,2,['测试'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
253,	1506179537359208450,广州迅牛信息技术有限公司,"['电子商务', '互联网']",项目助理岗-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['项目助理'],['数据开发'],广东省广州市,"['五险一金', '绩效奖金']"
254,	1506179537359208452,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(高级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,[]
255,	1506179537359208455,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试岗-广州银行项目,"[6000, 10000]",全职,本科,不限,2,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
256,	1506179537359208461,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,1,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
257,	1506179537359208464,广州迅牛信息技术有限公司,"['电子商务', '互联网']",测试(中级)-广州银行项目,"[6000, 10000]",全职,本科,不限,2,['测试'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
258,	1506179537359208465,广州迅牛信息技术有限公司,"['电子商务', '互联网']",需求分析岗-广州银行项目,"[6000, 10000]",全职,本科,3-5年,20,['需求分析'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
259,	1506179537363402753,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['JAVA'],['数据开发'],广东省广州市,"['专业培训', '弹性工作', '年终奖金', '绩效奖金', '五险一金']"
260,	1506179537363402754,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发、数据开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,5,['JAVA'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
261,	1506179537363402755,广州迅牛信息技术有限公司,"['电子商务', '互联网']",开发-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['Java'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
262,	1506179537363402761,广州迅牛信息技术有限公司,"['电子商务', '互联网']",数据开发岗-广州银行项目,"[6000, 10000]",全职,本科,3-5年,1,['SQL'],['数据开发'],广东省广州市,"['五险一金', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
263,	1506097472638943239,广州视源电子科技股份有限公司,"['互联网', '电子商务']",硬件技术支持,"[6000, 8000]",实习,本科,不限,30,"['需求管理', '技术问题处理', '研发优化', '客户培训', '推广新产品']","['电路基础', '数字电路', '团队协作', '英语读写', '电路设计']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作']"
264,	1506097472634748928,广州视源电子科技股份有限公司,"['互联网', '电子商务']",Android应用开发工程师,"[6000, 8000]",实习,本科,不限,30,"['开发', 'Java', '应用需求', '代码编写', '代码审查']","['独立分析', '耐心细致', 'Android', 'C++语言', '独立开发']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
265,	1506097472634748929,广州视源电子科技股份有限公司,"['互联网', '电子商务']",C/C++软件开发工程师,"[6000, 8000]",实习,本科,不限,30,"['开发', '编程基础', 'C++', '常用算法', '数据结构']","['C++语言', '独立分析', '开发测试', '独立开发']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
266,	1506097472634748930,广州视源电子科技股份有限公司,"['互联网', '电子商务']",嵌入式软件开发工程师（Linux方向）,"[6000, 8000]",实习,本科,不限,30,"['开发', '系统设计', '需求分析', '功能设计', '代码编写']","['C++语言', '数据结构', 'Linux', 'Android']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
267,	1506097472638943232,广州视源电子科技股份有限公司,"['互联网', '电子商务']",Web后台开发工程师,"[6000, 8000]",实习,本科,不限,30,"['开发', '模板编写', '审核测试', '技术攻坚']","['Java', '独立开发', '数据结构', '网络协议', '数据库基础']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '弹性工作', '绩效奖金']"
268,	1506097472638943233,广州视源电子科技股份有限公司,"['互联网', '电子商务']",Web前端开发工程师,"[6000, 8000]",实习,本科,不限,30,"['前端优化', 'Web设计', '功能实现']","['HTML5', 'CSS3', '有创造力', '逻辑性强']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
269,	1506097472638943234,广州视源电子科技股份有限公司,"['互联网', '电子商务']",软件测试工程师,"[6000, 8000]",实习,本科,不限,25,"['软件测试', '性能测试', '分析性能瓶颈', '问题解决', '质量分析']","['Python', '数据库', '网络协议', '开发测试', '耐心细致']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '专业培训', '通讯补贴', '弹性工作', '年终奖金', '绩效奖金']"
270,	1506097472638943235,广州视源电子科技股份有限公司,"['互联网', '电子商务']",软件技术支持,"[6000, 8000]",实习,本科,不限,30,"['解决客户问题', '维护客户', '功能开发', '软件缺陷处理']","['C++语言', 'Linux', 'Android', '英语读写', '独立分析']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
271,	1506097472638943236,广州视源电子科技股份有限公司,"['互联网', '电子商务']",硬件工程师,"[6000, 8000]",实习,本科,不限,30,"['硬件设计', '系统规划', '原材料选型', '原理图设计', '性能调试']","['耐心细致', '独立分析', '电力电子', '英语读写']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
272,	1506097472638943237,广州视源电子科技股份有限公司,"['互联网', '电子商务']",电源工程师,"[6000, 8000]",实习,本科,不限,30,"['电路拓扑', '系统设计', '参数设计', '容差设计及仿真', 'PCBA性能调试']","['电力电子', '技术热情', '耐心细致', '独立分析']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
273,	1506097472638943238,广州视源电子科技股份有限公司,"['互联网', '电子商务']",PCB工程师,"[6000, 8000]",实习,本科,不限,30,"['PCB设计', '研发调试', '研发测试']","['PCB设计', '数字电路', '模拟电路']",广东省广州市,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
274,	1506097472638943240,广州视源电子科技股份有限公司,"['互联网', '电子商务']",硬件测试工程师,"[6000, 8000]",实习,本科,不限,25,"['质量管理', '设计验证', '设计改善', '优化设计']","['熟悉电子电路', '技术钻研', '善于沟通', '英语读写']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
275,	1506097472638943241,广州视源电子科技股份有限公司,"['互联网', '电子商务']",渠道销售,"[6000, 8000]",实习,本科,不限,150,"['开发', '市场开拓', '区域销售', '品牌推广', '方案销售']","['项目管理', '产品运营', '需求分析', '良好沟通']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
276,	1506097472638943242,广州视源电子科技股份有限公司,"['互联网', '电子商务']",大客户销售,"[6000, 8000]",实习,本科,不限,150,"['方案销售', '品牌推广', '区域销售', '市场开拓']","['产品运营', '项目管理', '需求分析', '良好沟通']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
277,	1506097472638943243,广州视源电子科技股份有限公司,"['互联网', '电子商务']",结构设计师,"[6000, 8000]",实习,本科,不限,0,"['产品结构设计', '项目计划', '模具制作', '跟进试产', '确保产品生产']","['Creo', 'Proe', 'CAD', '热爱设计', '良好沟通']",广东省广州市,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金', '弹性工作']"
278,	1506097472638943244,广州视源电子科技股份有限公司,"['互联网', '电子商务']",大数据开发工程师,"[6000, 8000]",实习,本科,不限,0,"['数据处理', '数据仓库建设', '数据开发', 'ETL']","['Java', 'Scala', 'SQL', '大数据框架', 'Elastic']",广东省广州市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作']"
279,	1505831643351482368,佛山市小羽智能科技有限公司,"['电子商务', '互联网']",外贸销售,"[6000, 8000]",全职,本科,不限,0,"['开发客户', '客户维护', '外贸市场', '英语四级']","['产品运营', '项目管理', '需求分析']",广东省深圳市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '年终奖金', '绩效奖金', '专业培训']"
280,	1505831200835633152,佛山市小羽智能科技有限公司,"['电子商务', '互联网']",售后工程师,"[6000, 8000]",全职,本科,不限,2,"['产品安装', '调试维护', '产品培训', '反馈记录']","['项目管理', '产品运营', '安全维护', '产品培训']",广东省深圳市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '弹性工作', '年终奖金', '绩效奖金']"
281,	1505830800124411904,佛山市小羽智能科技有限公司,"['电子商务', '互联网']",销售工程师,"[6000, 8000]",全职,本科,不限,3,"['区域市场', '销售业绩', '拜访客户', '老客户复购', '客户维护']","['需求分析', '产品运营', '项目管理']",广东省深圳市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作']"
282,	1505830153962520576,佛山市小羽智能科技有限公司,"['电子商务', '互联网']",伺服研发工程师,"[10000, 15000]",全职,本科,不限,2,"['系统开发', '架构设计', '技术总结', '专利申请']","['机器人技术', '神经网络', '数据计算', '数据采集', '数据分析']",广东省深圳市,"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '弹性工作', '专业培训', '年终奖金', '绩效奖金']"
